               date            open            high             low     close        MA5       MA10   prev_MA5  prev_MA10  golden_cross  dead_cross      slowk      slowd  stoch_position     prev_k     prev_d  stochastic_golden_cross  stochastic_dead_cross        MACD  signal_macd          MA20         std         upper         lower   band_width         rsi        pdi        mdi        ADX    buy   sell  position_long  position_short
0     1683547920000  27862.56000000  27864.17000000  27843.54000000  27847.34        NaN        NaN        NaN        NaN         False       False        NaN        NaN               0        NaN        NaN                    False                  False    0.000000     0.000000           NaN         NaN           NaN           NaN          NaN         NaN        NaN        NaN        NaN  False  False          False           False
1     1683548100000  27847.34000000  27871.26000000  27831.40000000  27851.86        NaN        NaN        NaN        NaN         False       False        NaN        NaN               0        NaN        NaN                    False                  False    0.360570     0.072114           NaN         NaN           NaN           NaN          NaN         NaN        NaN        NaN        NaN  False  False          False           False
2     1683548280000  27851.87000000  27851.87000000  27822.71000000  27828.09        NaN        NaN        NaN        NaN         False       False        NaN        NaN               0        NaN        NaN                    False                  False   -1.257224    -0.193754           NaN         NaN           NaN           NaN          NaN         NaN        NaN        NaN        NaN  False  False          False           False
3     1683548460000  27828.09000000  27850.48000000  27821.00000000  27836.11        NaN        NaN        NaN        NaN         False       False        NaN        NaN               0        NaN        NaN                    False                  False   -1.870627    -0.529128           NaN         NaN           NaN           NaN          NaN         NaN        NaN        NaN        NaN  False  False          False           False
4     1683548640000  27836.10000000  27843.11000000  27814.12000000  27843.10  27841.300        NaN        NaN        NaN         False       False        NaN        NaN               0        NaN        NaN                    False                  False   -1.772288    -0.777760           NaN         NaN           NaN           NaN          NaN         NaN        NaN        NaN        NaN  False  False          False           False
5     1683548820000  27843.10000000  27874.32000000  27843.10000000  27872.59  27846.350        NaN  27841.300        NaN         False       False        NaN        NaN               0        NaN        NaN                    False                  False    0.677433    -0.486722           NaN         NaN           NaN           NaN          NaN         NaN        NaN        NaN        NaN  False  False          False           False
6     1683549000000  27872.60000000  27872.60000000  27841.83000000  27845.07  27844.992        NaN  27846.350        NaN         False       False        NaN        NaN               0        NaN        NaN                    False                  False    0.393683    -0.310641           NaN         NaN           NaN           NaN          NaN   48.868508        NaN        NaN        NaN  False  False          False           False
7     1683549180000  27845.07000000  27845.08000000  27818.72000000  27830.53  27845.480        NaN  27844.992        NaN         False       False        NaN        NaN               0        NaN        NaN                    False                  False   -0.993001    -0.447113           NaN         NaN           NaN           NaN          NaN   42.681759        NaN        NaN        NaN  False  False          False           False
8     1683549360000  27830.53000000  27830.53000000  27795.00000000  27816.16  27841.490        NaN  27845.480        NaN         False       False        NaN        NaN               0        NaN        NaN                    False                  False   -3.214443    -1.000579           NaN         NaN           NaN           NaN          NaN   35.685646        NaN        NaN        NaN  False  False          False           False
9     1683549540000  27816.15000000  27835.78000000  27811.31000000  27835.77  27840.024  27840.662  27841.490        NaN         False       False        NaN        NaN               0        NaN        NaN                    False                  False   -3.353927    -1.471248           NaN         NaN           NaN           NaN          NaN   53.185665        NaN        NaN        NaN  False  False          False           False
10    1683549720000  27835.77000000  27835.78000000  27832.64000000  27834.05  27832.316  27839.333  27840.024  27840.662         False       False        NaN        NaN               0        NaN        NaN                    False                  False   -3.562195    -1.889438           NaN         NaN           NaN           NaN          NaN   49.098389        NaN        NaN        NaN  False  False          False           False
